nome_empresa;ra;vfn;is;nota;rcl;resp;nresp;ava;tempmr;mis;mivfn;mnm;mrutd;mrudm;peutd;mrecudm;ercmr;mrd;mrs;mrecutd;rep
Guichê Web;99.8;83.0;93.5;8.08;650;649;1;353;355;1;2;1;0;0;0;0;0;0;0;0;otimo
D´Furlan Moveis Planejados;96.6;96.5;97.7;9.38;116;112;4;87;153;2;1;2;0;0;0;0;0;0;0;0;otimo
FSVAS Participações;100.0;65.5;98.9;9.06;1090;1090;0;896;8;3;0;9;0;0;0;0;0;0;0;0;otimo
Hersheys do Brasil;94.8;73.0;78.9;6.82;1013;960;53;492;285;4;11;12;0;0;0;0;0;0;0;0;regular
DMCard;99.0;90.0;96.4;8.86;587;581;6;432;75;5;6;4;0;0;0;0;0;0;0;0;otimo
Lança Perfume - Loja online;99.8;78.2;95.6;7.58;403;402;1;271;115;6;0;0;0;0;0;0;0;0;0;0;bom
Ventureshop;96.7;91.9;98.0;8.49;272;263;9;149;12;7;12;0;0;0;0;0;0;0;0;0;otimo
Quero Bolsa;99.6;90.7;95.8;9.08;1090;1086;4;708;30;8;10;5;0;0;0;0;0;0;0;0;otimo
Grupo VR;99.1;90.9;96.3;8.59;324;321;3;241;58;9;7;0;0;0;0;0;0;0;0;0;otimo
Sidlar;97.4;67.1;95.4;7.06;312;304;8;224;40;10;0;0;0;0;0;0;0;0;0;0;bom
Aladdin - PMI;100.0;91.3;94.9;8.71;232;232;0;142;41;11;9;17;0;0;0;0;0;0;0;0;otimo
Optotal HOYA;100.0;89.9;95.5;8.96;223;223;0;199;13;12;13;3;0;0;0;0;0;0;0;0;otimo
Web Continental;97.4;64.6;94.1;6.77;1358;1323;35;873;233;13;0;0;0;0;0;0;0;0;0;0;regular
Velox Tickets;100.0;82.5;91.3;8.24;206;206;0;126;105;14;5;13;0;0;0;0;0;0;0;0;otimo
Sucos Maguary;96.3;89.5;93.4;8.54;375;361;14;256;106;15;14;0;0;0;0;0;0;0;0;0;otimo
Galápagos Jogos;100.0;78.6;94.2;6.53;173;173;0;103;59;16;0;0;0;0;0;0;0;0;0;0;regular
Falcon Armas;100.0;88.5;96.0;8.46;407;407;0;321;12;17;8;15;0;0;0;0;0;0;0;0;otimo
Documento do Estudante;100.0;63.9;85.8;6.08;663;663;0;424;51;18;0;0;0;0;0;0;0;0;0;0;regular
CentralAr.com;99.8;79.7;94.7;7.68;1372;1369;3;1037;188;19;0;0;0;0;0;0;0;0;0;0;bom
Disk Ingressos;100.0;92.6;95.3;8.75;335;335;0;297;27;20;4;6;0;0;0;0;0;0;0;0;otimo
BOL;97.7;80.1;85.0;7.31;1418;1386;32;680;575;0;3;18;0;0;0;0;0;0;0;0;bom
Enjoy Inglês Profissionalizante;60.4;49.1;77.6;5.95;293;177;116;165;802;0;15;8;0;0;0;0;0;0;0;0;ruim
Marilan;100.0;90.8;95.1;8.66;480;480;0;307;41;0;16;20;0;0;0;0;0;0;0;0;otimo
Tigre;100.0;88.2;90.9;8.24;476;476;0;303;55;0;17;0;0;0;0;0;0;0;0;0;otimo
Colchões Gazin;100.0;83.7;94.6;8.84;324;324;0;221;30;0;18;7;0;0;0;0;0;0;0;0;otimo
Ferrero do Brasil - Kinder, Nutella, Tic Tac, Ferrero Rocher;100.0;88.6;91.0;8.54;1334;1334;0;811;39;0;19;19;0;0;0;0;0;0;0;0;otimo
Zap Gráfica;99.7;89.4;94.7;7.11;893;890;3;837;22;0;20;0;0;0;0;0;0;0;0;0;bom
Passagens Promo;99.2;75.0;84.5;7.67;265;263;2;169;50;0;0;10;0;0;0;0;0;0;0;0;bom
Garmin Brasil;99.1;65.3;78.8;6.36;2362;2340;22;1305;540;0;0;11;0;0;0;0;0;0;0;0;regular
Docol Metais Sanitarios;100.0;94.0;96.2;9.13;275;275;0;184;18;0;0;14;0;0;0;0;0;0;0;0;otimo
Piracanjuba;100.0;87.9;94.3;8.71;734;734;0;509;14;0;0;16;0;0;0;0;0;0;0;0;otimo
Americanas Marketplace;99.1;54.5;77.3;5.16;107321;106349;972;37378;133;0;0;0;1;1;0;3;0;0;0;1;ruim
Netshoes;98.6;76.1;91.7;6.76;106618;105176;1442;56388;99;0;0;0;2;2;0;9;0;2;3;6;regular
Magazine Luiza - Loja Online;93.9;71.4;90.7;6.89;66325;62266;4059;36795;250;0;0;0;3;4;0;18;0;13;10;11;regular
Sky;97.6;43.2;67.5;4.11;187369;182788;4581;51042;3497;0;0;0;4;5;0;5;0;18;12;9;pessimo
Americanas.com - Loja Online;97.3;76.2;89.5;6.99;89490;87088;2402;45962;57;0;0;0;5;3;0;17;0;1;1;3;regular
Saraiva - Loja fisica e online;99.2;63.8;82.9;6.14;49755;49378;377;33472;86;0;0;0;6;8;0;0;0;5;7;0;regular
Banco Cetelem;99.6;64.6;84.1;6.47;48685;48512;173;24618;128;0;0;0;7;14;0;0;0;0;0;0;regular
PagSeguro;99.0;65.8;78.3;6.19;60295;59704;591;32023;124;0;0;0;8;10;0;0;0;0;0;0;regular
Direct Logistica - DirectLog;96.8;69.5;93.2;6.75;26549;25699;850;13372;117;0;0;0;9;19;0;0;0;19;0;0;regular
Banco Bradesco;98.7;67.3;81.2;6.34;56205;55452;753;30111;168;0;0;0;10;17;0;0;0;14;16;17;regular
Motorola do Brasil;99.6;55.9;64.9;5.74;132735;132211;524;52866;76;0;0;0;11;6;0;6;0;9;14;10;ruim
Dafiti.com.br;99.4;64.6;84.8;6.17;62823;62469;354;39917;116;0;0;0;12;7;0;0;0;0;0;0;regular
Banco Itaú;99.6;69.2;81.0;6.25;73300;72994;306;40207;112;0;0;0;13;15;0;0;0;0;0;20;regular
KaBuM!;98.8;55.5;74.4;4.82;21402;21142;260;12661;133;0;0;0;14;0;0;0;0;0;0;0;pessimo
Casas Bahia - Loja Online;98.7;39.2;64.2;3.88;139173;137409;1764;55454;258;0;0;0;15;9;6;8;0;8;8;12;pessimo
Submarino;97.7;76.9;89.1;7.0;51482;50275;1207;30965;77;0;0;0;16;13;0;0;0;12;9;0;bom
Banco do Brasil;99.3;62.5;72.6;5.45;68448;67957;491;28622;151;0;0;0;17;0;0;20;0;0;0;19;ruim
WalMart - Loja Online;99.0;54.9;81.1;5.3;51745;51239;506;30756;179;0;0;0;18;0;0;0;0;0;0;0;ruim
Lojas Riachuelo e Midway Financeira;98.2;69.6;85.0;6.87;22829;22413;416;11134;334;0;0;0;19;0;0;0;0;0;0;0;regular
Total Express - TEX Courier;86.8;43.7;76.6;4.38;45892;39832;6060;18394;263;0;0;0;20;0;12;0;0;6;13;0;pessimo
Ponto Frio - Loja Online;99.1;43.2;69.4;4.17;112869;111846;1023;51787;252;0;0;0;0;11;0;15;0;0;0;0;pessimo
Extra.com.br;99.1;42.5;67.9;3.98;144442;143191;1251;64766;221;0;0;0;0;12;11;14;0;16;17;0;pessimo
Submarino Marketplace;98.8;56.0;78.1;5.26;39149;38692;457;16039;110;0;0;0;0;16;0;0;0;0;0;0;ruim
Itaucard;99.8;74.5;83.0;6.81;65779;65675;104;32983;12;0;0;0;0;18;0;0;0;0;0;0;regular
Banco Santander;98.1;52.5;73.5;5.21;64736;63491;1245;25032;308;0;0;0;0;20;0;19;0;0;19;14;ruim
NET Serviços (TV, Banda Larga e Telefone);53.8;49.9;66.5;4.61;285413;153534;131879;112145;132;0;0;0;0;0;2;2;0;10;6;4;pessimo
Uber;68.1;57.1;59.2;4.34;80848;55091;25757;12731;1244;0;0;0;0;0;4;7;0;15;11;7;pessimo
Samsung Electronics;100.0;27.1;34.7;2.53;114856;114818;38;37741;56;0;0;0;0;0;9;10;0;0;18;16;pessimo
Oi Móvel, Fixo, TV;0.3;20.0;33.9;1.69;146494;409;146085;34283;16;0;0;0;0;0;10;13;0;0;0;18;pessimo
LojasKD Móveis;89.1;39.7;77.0;4.42;16091;14332;1759;5258;167;0;0;0;0;0;14;0;0;0;0;0;pessimo
LATAM Airlines - TAM;97.3;42.9;45.9;3.16;37323;36318;1005;12832;592;0;0;0;0;0;15;0;0;0;0;0;pessimo
Nextel Telecomunicações;8.1;23.8;36.8;2.07;67141;5435;61706;17262;83;0;0;0;0;0;16;0;0;0;0;0;pessimo
Brastemp - Consul;94.2;56.8;73.0;5.22;40866;38508;2358;14302;1270;0;0;0;0;0;17;0;0;0;0;0;ruim
Oi Internet;7.7;23.7;37.1;2.11;19897;1523;18374;3122;86;0;0;0;0;0;19;0;0;0;0;0;pessimo
Claro TV;71.9;51.7;77.7;5.49;60955;43849;17106;27240;187;0;0;0;0;0;20;0;0;0;0;0;ruim
Jumbo Magazine;18.2;0.0;0.0;0.0;121;22;99;4;307;0;0;0;0;0;0;0;5;0;0;0;pessimo
Up Store - Upstylest;9.4;0.0;0.0;0.0;53;5;48;1;42;0;0;0;0;0;0;0;9;0;0;0;pessimo
Grupo Kucera - Advocacia Empresarial;42.5;0.0;0.0;0.0;40;17;23;2;289;0;0;0;0;0;0;0;12;0;0;0;pessimo
Tuffer Materiais para Construção;5.4;0.0;0.0;0.0;56;3;53;2;45;0;0;0;0;0;0;0;13;0;0;0;pessimo
RadiosPick;4.9;0.0;0.0;0.0;81;4;77;2;16;0;0;0;0;0;0;0;14;0;0;0;pessimo
Sodimac - Loja Online;100.0;0.0;0.0;0.0;28;28;0;9;63;0;0;0;0;0;0;0;15;0;0;0;pessimo
Unike Corretora De Seguros;100.0;10.0;100.0;8.2;31;31;0;10;40;0;0;0;0;0;0;0;17;0;0;0;otimo
Leblon Price RJ;8.3;0.0;0.0;0.0;24;2;22;1;1;0;0;0;0;0;0;0;18;0;0;0;pessimo
Inside Fashion;33.3;0.0;0.0;0.0;24;8;16;1;13;0;0;0;0;0;0;0;19;0;0;0;pessimo
Angeloni - Loja Online;97.4;90.0;90.0;7.1;38;37;1;10;12;0;0;0;0;0;0;0;20;0;0;0;bom
Loja do Mecânico - Loja online;91.3;64.9;88.2;5.82;6212;5672;540;2885;136;0;0;0;0;0;0;0;0;17;0;0;ruim
